BlockCount,SuccessfulBlockCount,BlockPerMinute,DodgeCount,SuccessfulDodgeCount,DodgePerMinute,PanicDodges,DodgeDirection,JumpCount,SprintCount,AttackCount,SuccessfulAttackCount,AttackPerMinute,DamageDealt,DamageTaken,IsDied,label
11,6,2.68,5,3,1.22,1,3,4,2,17,9,4.14,199,118,0,0
0,0,0.0,6,3,2.3,1,0,2,5,4,3,1.53,53,132,1,3
6,4,1.22,3,1,0.61,1,0,7,0,7,3,1.42,69,151,1,2
2,2,0.56,5,3,1.41,1,0,1,4,17,10,4.8,195,15,0,1
0,0,0.0,1,1,0.27,0,3,5,4,7,4,1.89,96,150,1,3
1,1,0.26,5,3,1.3,1,0,2,10,25,14,6.5,180,61,0,1
0,0,0.0,0,0,0.0,0,2,2,1,0,0,0.0,0,187,1,3
9,4,1.72,1,1,0.19,0,0,5,0,16,7,3.06,144,67,0,2
5,3,1.29,0,0,0.0,0,2,5,4,20,7,5.17,131,84,0,2
0,0,0.0,8,4,1.41,1,1,2,1,18,6,3.18,167,40,0,1
6,3,0.95,7,5,1.11,1,2,3,9,16,6,2.54,115,105,0,0
8,7,2.2,0,0,0.0,0,0,3,3,20,11,5.5,339,67,0,0
4,3,0.89,2,1,0.45,0,2,12,0,21,14,4.69,299,99,0,0
0,0,0.0,5,2,1.83,1,0,0,6,13,8,4.76,224,131,1,1
0,0,0.0,3,2,0.97,0,2,1,1,18,12,5.83,152,31,0,1
1,1,0.16,4,3,0.66,0,3,0,0,20,9,3.29,280,87,0,1
0,0,0.0,3,1,0.97,0,0,6,12,18,9,5.83,256,60,0,1
5,3,0.97,3,2,0.58,0,3,4,4,22,10,4.27,153,154,1,2
0,0,0.0,2,1,0.32,0,1,0,8,28,11,4.48,150,66,0,1
0,0,0.0,9,7,3.41,1,0,9,2,4,1,1.51,18,153,1,1
10,4,1.85,0,0,0.0,0,1,9,6,15,8,2.78,275,119,0,0
0,0,0.0,5,3,1.41,1,0,1,3,2,1,0.57,16,172,1,3
5,3,0.64,0,0,0.0,0,2,8,8,20,8,2.57,171,90,0,2
2,1,0.41,0,0,0.0,0,2,2,2,6,2,1.22,22,141,1,3
0,0,0.0,0,0,0.0,0,0,6,3,12,8,1.76,159,194,1,3
1,1,0.19,1,1,0.19,0,1,2,3,16,7,3.02,170,184,1,3
4,3,1.77,2,1,0.88,0,3,4,3,11,7,4.87,237,129,1,2
0,0,0.0,2,1,0.34,0,3,3,3,17,10,2.93,229,24,0,1
7,6,0.91,4,2,0.52,1,1,2,0,11,8,1.43,244,141,1,2
6,4,1.07,5,3,0.89,0,3,8,0,20,10,3.57,237,60,0,0
0,0,0.0,0,0,0.0,0,1,3,1,10,6,1.45,66,149,1,3
2,2,0.27,7,3,0.96,2,1,1,4,20,10,2.74,179,78,0,1
1,1,0.3,2,1,0.59,0,3,0,0,21,12,6.23,293,77,0,1
7,6,2.14,0,0,0.0,0,1,5,3,16,8,4.89,270,150,1,0
5,2,0.88,7,4,1.24,1,1,4,2,20,8,3.53,252,104,0,1
8,4,1.79,2,1,0.45,0,1,3,0,9,5,2.02,79,233,1,2
5,2,0.71,1,1,0.14,0,3,6,0,24,13,3.41,202,39,0,0
0,0,0.0,6,5,0.81,0,3,0,4,11,7,1.49,105,197,1,3
1,1,0.24,4,2,0.97,1,1,1,0,13,8,3.15,264,94,1,1
0,0,0.0,0,0,0.0,0,0,0,2,10,6,2.92,188,195,1,3
4,3,0.6,7,4,1.05,1,1,0,4,12,4,1.8,117,102,1,1
1,1,0.27,4,3,1.1,0,1,7,4,7,4,1.92,79,108,1,1
3,2,0.43,2,1,0.29,0,0,3,4,17,9,2.45,203,103,0,1
2,1,0.44,1,1,0.22,0,2,4,8,2,1,0.44,22,174,1,3
0,0,0.0,2,1,0.33,0,1,0,0,19,14,3.16,229,40,0,1
0,0,0.0,5,4,1.94,0,0,8,0,5,2,1.94,45,132,1,3
0,0,0.0,1,1,0.17,0,0,0,9,18,12,3.13,129,88,0,1
0,0,0.0,5,3,1.06,1,0,2,6,24,8,5.09,106,39,0,1
2,1,0.36,0,0,0.0,0,3,5,6,6,3,1.09,96,162,1,3
13,6,4.32,0,0,0.0,0,0,4,10,20,11,6.65,317,84,0,0
0,0,0.0,0,0,0.0,0,0,1,3,9,3,1.4,62,116,1,3
8,6,1.11,0,0,0.0,0,1,0,11,18,11,2.51,252,117,0,0
8,6,2.42,8,5,2.42,1,0,11,14,19,6,5.76,115,67,0,0
3,2,1.17,4,3,1.55,0,0,4,14,19,7,7.38,200,102,0,0
3,2,1.4,0,0,0.0,0,0,0,5,14,8,6.54,237,205,1,2
2,1,0.34,0,0,0.0,0,1,3,3,14,9,2.39,262,198,1,1
9,5,1.6,4,2,0.71,1,1,3,10,17,12,3.01,337,71,0,0
0,0,0.0,5,4,0.95,0,1,0,3,22,14,4.17,212,79,0,1
1,1,0.29,4,3,1.18,0,1,4,3,15,9,4.42,166,129,1,1
3,2,0.69,7,5,1.61,1,3,8,0,17,8,3.91,174,73,0,1
9,5,1.62,3,1,0.54,1,1,5,9,22,7,3.95,128,43,0,0
10,4,2.01,7,4,1.41,1,0,3,15,18,6,3.61,173,105,0,0
0,0,0.0,2,1,0.25,0,0,7,7,13,7,1.64,128,17,0,1
5,3,1.77,2,1,0.71,0,1,0,4,10,6,3.55,81,129,1,2
5,4,0.81,6,3,0.97,1,2,7,7,23,11,3.73,220,81,0,0
4,3,0.9,4,1,0.9,1,0,3,0,18,11,4.07,379,68,0,0
0,0,0.0,2,1,0.44,0,2,4,0,17,9,3.72,141,65,0,1
0,0,0.0,0,0,0.0,0,0,7,5,15,5,2.38,127,97,1,3
7,3,1.14,1,1,0.16,0,1,0,8,22,9,3.57,187,64,0,0
6,4,0.75,4,3,0.5,0,2,3,5,20,14,2.52,165,50,0,0
6,4,2.17,2,1,0.72,0,0,7,6,22,14,7.94,311,51,0,0
6,4,2.29,0,0,0.0,0,1,1,8,21,15,8.0,413,114,0,0
5,4,0.79,6,3,0.95,1,0,1,1,21,7,3.31,160,75,0,0
5,3,0.91,3,2,0.55,0,2,1,2,15,11,2.74,350,182,1,2
6,4,1.65,7,6,1.92,0,0,6,5,20,8,5.49,138,47,0,0
3,2,1.21,0,0,0.0,0,3,8,0,23,7,9.29,85,161,1,2
0,0,0.0,5,2,1.99,1,0,2,4,12,9,4.77,301,77,0,1
1,1,0.14,1,1,0.14,0,3,5,1,11,5,1.49,97,137,1,3
1,1,0.32,0,0,0.0,0,1,8,3,16,10,5.08,244,103,1,1
10,7,2.54,3,2,0.76,0,2,0,0,14,5,3.55,149,55,0,0
0,0,0.0,4,3,1.19,0,0,7,0,23,13,6.85,235,98,0,1
8,5,1.94,5,3,1.21,1,3,1,4,18,13,4.36,363,111,0,0
1,1,0.41,1,1,0.41,0,0,10,8,24,11,9.93,147,37,0,1
3,2,0.59,3,2,0.59,0,0,8,1,23,14,4.5,242,93,0,0
14,8,5.82,1,1,0.42,0,1,4,4,15,6,6.24,82,131,0,0
9,7,1.32,0,0,0.0,0,0,5,4,22,13,3.23,394,60,0,0
0,0,0.0,2,1,0.59,0,0,5,0,15,7,4.41,109,48,0,1
0,0,0.0,2,1,0.38,0,3,7,3,1,1,0.19,28,184,1,3
3,2,0.41,2,1,0.27,0,3,9,2,21,9,2.88,302,31,0,1
0,0,0.0,4,2,0.68,0,1,4,11,19,7,3.22,162,75,0,1
6,5,1.15,2,1,0.38,0,3,3,3,15,11,2.89,259,105,1,2
5,4,1.27,0,0,0.0,0,1,4,10,16,8,4.05,172,90,0,2
1,1,0.25,0,0,0.0,0,0,5,4,24,10,6.0,181,100,0,1
10,8,1.66,7,5,1.16,1,2,5,8,23,12,3.82,263,42,0,0
4,3,0.5,0,0,0.0,0,2,13,0,10,4,1.26,100,198,1,2
4,2,0.67,0,0,0.0,0,3,2,4,17,11,2.85,381,101,0,2
8,6,1.5,3,1,0.56,1,0,12,6,19,14,3.55,468,91,0,0
15,10,2.35,4,2,0.63,1,2,0,4,16,8,2.51,252,105,0,0
10,8,2.09,6,3,1.25,1,0,3,2,20,14,4.17,451,61,0,0
8,6,3.39,3,1,1.27,1,0,3,3,16,9,6.78,195,67,0,0
1,1,0.19,0,0,0.0,0,0,3,4,13,5,2.42,132,154,1,3
1,1,0.13,12,7,1.55,2,3,0,0,20,12,2.58,389,98,0,1
2,1,0.66,5,3,1.64,1,3,0,4,9,5,2.95,99,205,1,1
7,4,1.14,5,3,0.81,1,2,0,0,1,1,0.16,34,186,1,2
2,2,0.62,1,1,0.31,0,1,11,1,6,4,1.87,82,181,1,3
7,6,1.34,3,1,0.58,1,0,12,4,26,13,4.99,325,104,0,0
1,1,0.39,5,4,1.94,0,0,5,4,15,11,5.81,305,105,1,1
0,0,0.0,2,1,0.43,0,0,6,0,18,11,3.83,371,52,0,1
9,5,1.38,1,1,0.15,0,1,11,7,21,11,3.21,177,92,0,0
9,4,2.2,0,0,0.0,0,2,1,7,18,10,4.41,287,66,0,0
5,2,0.83,6,5,1.0,0,1,1,2,18,8,3.01,184,54,0,1
8,4,1.18,0,0,0.0,0,0,2,4,22,16,3.25,267,67,0,0
0,0,0.0,3,1,0.4,0,0,7,10,20,12,2.64,353,20,0,1
6,3,1.76,1,1,0.29,0,0,0,6,3,1,0.88,24,236,1,2
6,4,1.36,0,0,0.0,0,1,5,1,22,10,5.0,265,104,0,0
1,1,0.34,4,3,1.37,0,3,3,4,9,5,3.09,90,171,1,1
0,0,0.0,0,0,0.0,0,2,3,13,19,6,2.39,132,19,0,1
3,3,0.4,4,2,0.53,1,3,6,5,18,6,2.38,153,87,0,1
1,1,0.19,3,2,0.57,0,1,0,9,21,11,4.01,221,64,0,1
7,4,0.99,5,4,0.71,0,1,2,0,21,9,2.98,135,126,0,0
1,1,0.2,5,3,0.98,1,0,3,2,23,11,4.49,374,70,0,1
3,2,0.52,0,0,0.0,0,3,4,0,0,0,0.0,0,204,1,3
1,1,0.39,0,0,0.0,0,2,1,6,21,8,8.28,227,53,0,1
13,5,1.99,6,3,0.92,1,0,7,4,19,12,2.91,243,157,0,0
0,0,0.0,1,1,0.36,0,1,2,6,0,0,0.0,0,187,1,3
0,0,0.0,0,0,0.0,0,1,11,12,15,6,2.16,121,11,0,1
13,6,1.94,7,5,1.05,1,2,2,1,0,0,0.0,0,270,1,2
4,2,0.64,0,0,0.0,0,3,7,7,23,13,3.68,307,56,0,0
0,0,0.0,0,0,0.0,0,1,3,1,25,8,11.28,189,49,0,1
0,0,0.0,0,0,0.0,0,1,0,3,13,5,3.4,112,179,1,3
3,1,0.84,4,3,1.12,0,0,6,2,12,4,3.35,53,191,1,1
0,0,0.0,12,7,2.88,2,0,0,0,18,12,4.33,269,71,0,1
4,3,1.58,3,2,1.19,0,0,2,5,18,11,7.13,157,75,0,0
5,3,0.66,4,3,0.52,0,0,9,13,20,13,2.62,171,66,0,0
0,0,0.0,9,7,1.69,1,2,1,2,21,13,3.95,433,11,0,1
0,0,0.0,9,3,2.35,2,2,6,4,21,13,5.48,327,17,0,1
7,4,1.6,2,1,0.46,0,0,2,3,4,2,0.91,53,155,1,2
5,4,1.07,4,2,0.85,1,3,5,0,22,13,4.7,261,30,0,0
2,1,0.36,6,3,1.07,1,0,0,0,19,6,3.39,196,57,0,1
0,0,0.0,5,2,0.98,1,0,3,1,14,8,2.75,208,67,0,1
4,3,0.53,0,0,0.0,0,0,7,2,5,3,0.67,88,197,1,2
3,2,0.6,0,0,0.0,0,1,2,0,0,0,0.0,0,145,1,3
3,1,0.38,3,1,0.38,1,0,8,1,21,10,2.64,340,60,0,1
3,2,0.42,8,5,1.13,1,1,3,7,18,8,2.53,244,79,0,1
2,1,0.62,0,0,0.0,0,1,3,9,23,14,7.07,439,97,0,0
0,0,0.0,5,2,0.66,1,3,3,4,20,12,2.64,172,78,0,1
3,1,1.11,6,4,2.22,1,0,6,0,20,14,7.41,235,88,0,1
0,0,0.0,1,1,0.14,0,0,10,3,8,4,1.16,69,92,1,3
0,0,0.0,1,1,0.23,0,0,10,10,22,14,5.14,235,43,0,1
0,0,0.0,0,0,0.0,0,2,3,1,2,1,0.28,31,106,1,3
1,1,0.14,3,1,0.42,1,0,2,9,18,13,2.5,140,14,0,1
5,3,0.73,7,3,1.02,1,3,2,4,1,1,0.15,12,118,1,3
0,0,0.0,0,0,0.0,0,1,0,2,0,0,0.0,0,82,1,3
0,0,0.0,5,2,1.31,1,1,2,0,26,15,6.79,225,71,0,1
13,9,5.23,10,6,4.02,1,1,0,2,20,13,8.05,205,48,0,0
3,2,0.68,8,6,1.81,1,0,8,7,18,13,4.07,389,78,0,1
0,0,0.0,5,4,1.64,0,0,0,4,18,6,5.92,144,103,1,1
3,1,0.49,3,2,0.49,0,0,6,1,0,0,0.0,0,131,1,3
0,0,0.0,1,1,0.25,0,1,5,3,2,1,0.49,21,137,1,3
2,1,0.25,7,3,0.89,1,0,0,2,21,11,2.67,222,104,0,1
0,0,0.0,6,3,1.03,1,0,0,2,20,12,3.42,154,59,0,1
0,0,0.0,2,1,0.29,0,3,5,5,1,1,0.14,27,168,1,3
3,2,1.07,0,0,0.0,0,0,2,1,15,5,5.37,138,146,1,2
2,1,0.28,2,1,0.28,0,3,1,1,21,14,2.93,392,81,0,1
0,0,0.0,0,0,0.0,0,2,4,3,1,1,0.13,28,135,1,3
0,0,0.0,5,3,1.02,0,0,7,3,14,6,2.84,60,89,1,1
0,0,0.0,5,4,0.89,0,0,6,2,10,4,1.77,135,176,1,3
0,0,0.0,2,1,0.3,0,0,6,4,11,7,1.67,212,109,1,3
13,6,4.26,3,1,0.98,1,2,7,0,18,6,5.9,196,133,0,0
4,3,0.8,3,2,0.6,0,2,0,6,22,15,4.39,156,36,0,0
8,6,1.82,3,2,0.68,0,2,7,0,0,0,0.0,0,220,1,2
6,4,2.08,0,0,0.0,0,3,2,1,19,11,6.6,333,76,0,0
2,1,0.48,1,1,0.24,0,2,4,3,18,13,4.28,402,49,0,1
1,1,0.42,1,1,0.42,0,0,8,0,21,13,8.72,160,50,0,1
0,0,0.0,0,0,0.0,0,0,1,4,14,7,6.5,199,196,1,1
1,1,0.36,5,4,1.78,0,3,4,4,22,13,7.83,442,25,0,1
0,0,0.0,5,2,0.64,1,0,2,4,20,9,2.57,243,36,0,1
5,4,0.94,0,0,0.0,0,0,4,0,24,10,4.53,243,77,0,2
7,5,0.9,0,0,0.0,0,2,0,8,9,7,1.15,235,131,1,2
1,1,0.22,5,3,1.09,0,1,1,1,13,8,2.83,169,133,1,1
3,1,0.78,1,1,0.26,0,3,7,0,21,12,5.43,300,47,0,0
0,0,0.0,0,0,0.0,0,2,5,0,17,8,3.38,175,79,0,1
0,0,0.0,0,0,0.0,0,0,5,1,11,4,2.37,133,92,1,3
3,1,1.14,0,0,0.0,0,3,2,6,23,7,8.73,83,23,0,0
7,3,1.2,6,4,1.03,1,0,3,12,22,12,3.76,270,133,0,0
0,0,0.0,0,0,0.0,0,0,3,7,17,11,5.16,299,62,0,1
0,0,0.0,6,3,1.05,1,1,0,8,15,8,2.62,238,42,0,1
0,0,0.0,0,0,0.0,0,0,0,4,11,7,1.86,172,94,1,3
1,1,0.34,0,0,0.0,0,1,0,9,15,5,5.15,164,66,0,1
4,3,1.69,2,1,0.84,0,0,1,3,0,0,0.0,0,121,1,2
0,0,0.0,1,1,0.15,0,1,3,5,8,3,1.2,35,193,1,3
1,1,0.21,5,3,1.05,1,1,6,0,21,11,4.41,221,98,0,1
9,6,3.83,0,0,0.0,0,2,7,3,13,4,5.53,42,217,1,0
1,1,0.13,0,0,0.0,0,3,0,2,3,2,0.38,36,85,1,3
5,3,2.13,1,1,0.43,0,0,1,1,22,9,9.37,211,75,0,0
1,1,0.16,0,0,0.0,0,1,4,3,10,7,1.62,229,103,1,3
0,0,0.0,0,0,0.0,0,1,0,3,17,8,2.15,249,81,1,3
4,3,1.16,2,1,0.58,0,0,0,4,20,15,5.82,198,115,1,0
2,1,0.7,2,1,0.7,0,2,0,1,8,4,2.8,49,171,1,3
6,4,2.2,1,1,0.37,0,2,0,0,23,17,8.43,420,42,0,0
1,1,0.26,0,0,0.0,0,0,1,13,13,4,3.4,93,28,0,1
1,1,0.38,3,1,1.15,1,1,10,3,13,8,4.99,133,187,1,1
1,1,0.16,4,2,0.65,1,0,0,0,13,9,2.11,292,163,1,1
2,1,0.84,2,2,0.84,0,2,4,0,22,8,9.27,265,68,0,0
0,0,0.0,3,1,0.59,1,0,1,5,14,5,2.77,100,125,1,3
5,3,0.63,3,2,0.38,0,3,2,12,24,12,3.01,387,44,0,0
0,0,0.0,1,1,0.15,0,2,2,1,22,16,3.2,314,60,0,1
13,9,2.28,2,1,0.35,0,1,2,4,22,12,3.87,341,63,0,0
0,0,0.0,5,3,1.3,0,1,9,0,18,10,4.69,219,65,0,1
8,5,1.39,0,0,0.0,0,3,3,0,17,6,2.96,78,122,0,2
0,0,0.0,4,2,0.77,1,1,0,3,12,4,2.32,133,171,1,3
5,3,1.1,0,0,0.0,0,0,1,6,18,12,3.95,256,179,1,2
3,1,1.08,0,0,0.0,0,1,6,12,23,8,8.26,227,77,0,0
5,4,0.68,2,1,0.27,0,3,5,5,15,9,2.05,173,112,1,2
2,1,0.43,2,1,0.43,0,2,5,3,3,2,0.64,21,187,1,3
2,1,0.63,3,2,0.95,0,2,6,3,14,6,4.42,75,152,1,1
1,1,0.24,4,3,0.95,0,3,5,2,18,11,4.28,246,40,0,1
1,1,0.22,1,1,0.22,0,3,6,4,21,7,4.68,191,99,0,1
0,0,0.0,3,2,0.43,0,3,4,1,2,1,0.29,18,100,1,3
0,0,0.0,5,3,0.78,0,0,0,5,13,5,2.03,137,173,1,3
8,6,1.21,0,0,0.0,0,1,0,2,25,16,3.78,439,110,0,0
3,2,1.45,5,3,2.42,1,2,6,3,22,10,10.65,276,105,0,0
2,1,0.44,1,1,0.22,0,2,0,7,5,3,1.11,67,140,1,3
4,3,0.82,4,2,0.82,0,2,0,0,5,3,1.02,99,158,1,3
2,1,0.95,4,2,1.89,1,0,0,5,15,6,7.09,133,200,1,1
4,3,1.12,5,3,1.4,0,2,5,0,11,7,3.09,149,196,1,2
0,0,0.0,2,1,0.3,0,2,0,0,12,5,1.83,75,134,1,3
0,0,0.0,2,1,0.71,0,0,3,2,20,12,7.09,212,82,1,1
7,4,1.34,0,0,0.0,0,1,9,7,25,9,4.8,100,87,0,0
1,1,0.3,3,1,0.91,1,0,8,3,11,7,3.34,181,153,1,1
1,1,0.48,0,0,0.0,0,0,10,0,16,6,7.72,97,80,0,1
0,0,0.0,4,2,1.16,1,0,0,5,24,12,6.96,211,58,0,1
4,2,0.51,4,2,0.51,1,1,5,7,20,8,2.55,234,96,0,1
1,1,0.15,0,0,0.0,0,1,6,3,1,1,0.15,18,158,1,3
5,4,0.64,1,1,0.13,0,2,11,4,20,8,2.58,128,47,0,2
0,0,0.0,1,1,0.2,0,2,4,4,15,10,3.04,142,60,0,1
11,7,4.14,6,3,2.26,1,3,9,9,24,17,9.03,499,85,0,0
4,2,0.76,3,2,0.57,0,0,5,7,22,9,4.16,119,103,0,0
6,4,1.27,3,1,0.63,1,0,0,0,23,13,4.87,277,109,0,0
0,0,0.0,1,1,0.14,0,3,2,2,5,2,0.71,45,129,1,3
10,5,3.86,4,2,1.55,1,0,4,7,17,8,6.57,217,106,0,0
2,1,0.41,1,1,0.2,0,3,0,5,21,13,4.26,336,122,1,1
3,2,1.03,0,0,0.0,0,3,0,1,5,3,1.72,91,188,1,2
5,4,1.27,3,1,0.76,1,1,0,1,8,5,2.03,56,166,1,2
4,3,0.62,0,0,0.0,0,3,10,3,20,9,3.11,157,19,0,2
2,1,0.41,1,1,0.21,0,0,13,1,10,5,2.06,85,133,1,3
1,1,0.23,3,2,0.7,0,0,11,1,21,7,4.93,96,65,0,1
0,0,0.0,4,3,0.92,0,2,0,1,17,11,3.89,190,152,1,1
5,4,1.05,5,2,1.05,1,1,5,6,22,12,4.63,213,104,0,0
0,0,0.0,3,1,0.45,1,3,3,3,20,12,2.98,277,17,0,1
3,2,0.41,2,1,0.27,0,0,1,2,22,9,2.99,239,145,1,1
0,0,0.0,7,4,0.91,1,1,0,1,15,7,1.94,137,104,1,1
4,3,0.6,0,0,0.0,0,1,0,1,19,9,2.83,252,119,1,2
0,0,0.0,6,4,1.54,1,2,8,0,25,8,6.42,147,45,0,1
0,0,0.0,4,3,0.65,0,0,1,9,17,8,2.77,138,77,0,1
0,0,0.0,1,1,0.22,0,1,8,2,17,11,3.68,259,170,1,1
4,3,1.13,0,0,0.0,0,3,0,0,15,11,4.25,117,188,1,2
5,4,0.71,6,4,0.85,1,0,9,6,20,11,2.84,132,57,0,0
0,0,0.0,0,0,0.0,0,3,2,3,20,10,8.97,204,54,0,1
8,4,1.08,0,0,0.0,0,1,8,0,22,7,2.97,235,120,0,2
2,1,0.42,4,3,0.84,0,2,2,0,22,15,4.61,421,38,0,1
8,4,1.37,0,0,0.0,0,2,2,2,13,4,2.23,49,196,1,2
6,4,1.01,0,0,0.0,0,0,1,0,0,0,0.0,0,182,1,2
3,1,0.41,5,2,0.68,1,1,2,1,14,7,1.9,198,105,1,1
3,2,0.52,0,0,0.0,0,3,0,2,14,6,2.41,152,118,1,1
4,3,0.7,0,0,0.0,0,1,1,0,7,5,1.23,153,87,1,2
10,5,4.17,0,0,0.0,0,3,0,2,18,6,7.5,121,79,0,0
8,5,1.57,5,2,0.98,1,1,9,0,18,10,3.52,155,47,0,0
3,1,1.03,1,1,0.34,0,0,8,7,27,15,9.31,342,63,0,0
3,1,0.47,3,2,0.47,0,1,6,5,2,1,0.31,24,136,1,3
8,6,1.58,0,0,0.0,0,3,0,2,4,2,0.79,47,201,1,2
3,2,0.49,0,0,0.0,0,0,4,12,21,12,3.45,290,65,0,0
0,0,0.0,4,3,1.78,0,3,4,2,18,11,8.0,371,33,0,1
0,0,0.0,4,2,1.59,1,3,5,5,19,6,7.57,195,90,0,1
6,4,0.95,7,4,1.11,1,1,4,9,27,19,4.29,606,83,0,0
8,4,3.29,2,1,0.82,0,0,0,7,19,7,7.81,210,107,0,0
6,4,2.47,4,2,1.65,0,2,3,3,2,1,0.82,34,200,1,2
3,1,1.45,1,1,0.48,0,0,0,3,15,6,7.24,75,118,1,2
2,1,0.26,3,2,0.39,0,2,2,1,3,1,0.39,17,136,1,3
1,1,0.16,0,0,0.0,0,1,0,3,8,3,1.25,67,180,1,3
0,0,0.0,3,2,0.73,0,1,4,0,13,10,3.16,312,88,1,1
6,4,1.59,2,1,0.53,0,2,7,3,18,8,4.76,181,86,0,0
28,20,6.83,3,1,0.73,1,1,10,19,18,6,4.39,172,196,0,0
11,9,1.65,7,4,1.05,1,1,7,1,17,6,2.56,81,47,0,0
0,0,0.0,12,6,2.01,1,1,1,1,15,9,2.51,147,55,0,1
4,2,1.29,5,2,1.61,1,1,0,11,17,12,5.46,340,112,0,0
2,2,0.66,0,0,0.0,0,1,3,4,21,9,6.9,127,26,0,1
1,1,0.39,4,2,1.54,1,3,10,1,0,0,0.0,0,152,1,3
6,4,1.01,0,0,0.0,0,1,1,5,0,0,0.0,0,183,1,2
0,0,0.0,4,3,0.61,0,1,1,1,13,4,1.97,75,171,1,3
6,2,1.67,4,3,1.11,0,2,8,13,21,7,5.85,194,74,0,0
4,3,1.88,0,0,0.0,0,0,2,2,4,2,1.88,38,187,1,2
1,1,0.4,1,1,0.4,0,0,4,8,17,7,6.82,167,165,1,1
12,9,1.54,6,4,0.77,1,3,7,4,19,10,2.43,125,52,0,0
1,1,0.27,0,0,0.0,0,2,10,1,18,7,4.77,211,48,0,1
15,7,2.27,8,3,1.21,2,1,1,7,17,12,2.57,231,106,0,0
0,0,0.0,0,0,0.0,0,2,3,2,6,4,1.04,105,104,1,3
17,9,3.96,3,2,0.7,0,0,6,0,24,13,5.59,366,147,0,0
2,1,0.62,4,2,1.24,1,2,2,4,22,10,6.8,152,56,0,1
1,1,0.37,8,3,2.93,1,1,11,2,24,11,8.8,353,97,0,1
5,3,0.88,1,1,0.18,0,1,0,4,12,6,2.11,152,224,1,2
0,0,0.0,1,1,0.15,0,1,5,0,6,4,0.9,83,95,1,3
10,8,1.71,4,3,0.68,0,0,3,6,18,9,3.07,131,50,0,0
0,0,0.0,0,0,0.0,0,0,6,3,24,16,4.63,537,81,0,1
5,3,2.22,4,3,1.78,0,3,6,4,21,15,9.33,433,100,0,0
4,3,0.51,7,4,0.9,1,1,3,2,21,9,2.69,137,26,0,1
7,4,1.03,1,1,0.15,0,1,0,3,18,10,2.65,184,108,0,2
0,0,0.0,0,0,0.0,0,0,2,1,10,3,2.66,91,143,1,3
7,4,0.89,1,1,0.13,0,0,0,1,9,4,1.14,110,134,1,2
2,1,0.36,1,1,0.18,0,2,0,4,19,9,3.39,262,105,0,1
0,0,0.0,1,1,0.18,0,1,0,0,18,7,3.28,147,124,1,3
7,3,1.08,0,0,0.0,0,1,11,2,24,17,3.7,475,156,0,0
1,1,0.15,1,1,0.15,0,0,7,5,7,3,1.02,59,141,1,3
0,0,0.0,1,1,0.17,0,2,6,5,16,8,2.69,122,20,0,1
0,0,0.0,3,2,1.08,0,0,5,0,17,10,6.14,258,149,1,1
10,7,2.48,9,6,2.23,1,0,0,10,18,11,4.47,378,95,0,0
2,1,0.26,3,2,0.4,0,1,0,4,3,1,0.4,18,168,1,3
0,0,0.0,1,1,0.3,0,0,1,6,3,2,0.9,43,137,1,3
6,4,1.42,0,0,0.0,0,0,4,7,14,8,3.31,215,82,0,2
2,1,0.44,2,1,0.44,0,2,3,1,14,7,3.05,165,147,1,1
6,3,1.29,0,0,0.0,0,2,4,2,6,2,1.29,62,208,1,2
